NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Aiport malaga;atracciones_turisticas;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Monumento a Omar Jayyam;atracciones_turisticas;,  28040 Madrid, Spain;4044953;-373045;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Museum of Astronomy and Geodesy;atracciones_turisticas;Plaza de las Ciencias, 3 28040 Madrid, Spain;4044943;-372621;;https://www.ucm.es/cultura/museo-de-astronomia-y-geodesia;913 94 44 61;;;;
Museo Eduardo Torroja;atracciones_turisticas;,  28023 Madrid, Spain;4046739;-375860;;https://www.fundacioneduardotorroja.org/index.php/es/museo-torroja.html;917 40 05 40;;;;
Los portadores de la antorcha;atracciones_turisticas;,  28040 Madrid, Spain;4044379;-372607;;https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextoid=a138091d1b9c4510091d1b9c45102e085a0aRCRD&vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Cerro de los Locos;atracciones_turisticas;Calle de Francos Rodríguez, 1I 28040 Madrid, Spain;4045441;-372401;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Puerta Esmeralda;atracciones_turisticas;Avenida Complutense, 42I 28040 Madrid, Spain;4045626;-372362;;;;;;;
Puerta del Agua;atracciones_turisticas;Avenida Complutense, 38I 28040 Madrid, Spain;4045463;-372283;;;;;;;
Puerta de la Cabaña;atracciones_turisticas;,  28040 Madrid, Spain;4045583;-372310;;;;;;;
Gran Carrasca;atracciones_turisticas;,  28011 Madrid, Spain;4042890;-375387;;;;;;;
Canteras Hill Viewpoint;atracciones_turisticas;,  28011 Madrid, Spain;4042901;-374291;;http://www.esmadrid.com/;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Puerta Nocturna;atracciones_turisticas;Carretera de la Dehesa de la Villa, 1 28040 Madrid, Spain;4045746;-372297;;;;;;;
Fuente de la Salud;atracciones_turisticas;Paseo de Camoens,  28008 Madrid, Spain;4043385;-372751;;;658 09 43 78;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Estatua Andres Bello;atracciones_turisticas;Avenida Complutense, 38I 28040 Madrid, Spain;4045977;-372166;;;;;;;
Puerta de los Limones;atracciones_turisticas;Avenida Complutense, 38I 28040 Madrid, Spain;4045982;-372165;;;;;;;
Elena Fortun Monument;atracciones_turisticas;,  28008 Madrid, Spain;4043364;-372722;;https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextoid=c928091d1b9c4510091d1b9c45102e085a0aRCRD&vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Puerta Aurora;atracciones_turisticas;Calle de los Pirineos, 21 28040 Madrid, Spain;4045661;-371984;;;;;;;
La Bombilla Park;atracciones_turisticas;Paseo de la Senda del Rey, 82 28008 Madrid, Spain;4043143;-373009;;http://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Medio-ambiente/Parques-y-jardines/Patrimonio-Verde/Parques-en-Madrid/Parque-de-la-Bombilla?vgnextfmt=default&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD&vgnextchannel=38bb1914e7d4e210VgnVCM1000000b205a0aRCRD;915 29 82 10;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Manantial de la salud del arroyo de San Bernardino;atracciones_turisticas;Paseo de Moret, 2B 28008 Madrid, Spain;4043431;-372596;;http://www.monumentamadrid.es/am_monumentos5/am_monumentos5_web/index.htm#mon5.8625;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Puerta Mágica;atracciones_turisticas;Calle de Francos Rodríguez, 8D 28040 Madrid, Spain;4045885;-372047;;;;;;;
Monument to Miguel Hidalgo;atracciones_turisticas;Paseo de Ruperto Chapí, 1I 28008 Madrid, Spain;4043291;-372734;;https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextoid=4a28091d1b9c4510091d1b9c45102e085a0aRCRD&vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Puerta Verde;atracciones_turisticas;Desconocido, 2 28040 Madrid, Spain;4045839;-371975;;;;;;;
Monumento al General San Martín;atracciones_turisticas;,  28040 Madrid, Spain;4043675;-372281;;https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextoid=a018091d1b9c4510091d1b9c45102e085a0aRCRD&vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Monumento a Simón Bolívar;atracciones_turisticas;,  28008 Madrid, Spain;4043215;-372778;;https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextoid=4f08091d1b9c4510091d1b9c45102e085a0aRCRD&vgnextchannel=8fac3cb702aa4510VgnVCM1000008a4a900aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Monumento a Miguel Hernández;atracciones_turisticas;Paseo de Ruperto Chapí, 1I 28008 Madrid, Spain;4043327;-372568;;https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextoid=b76cc4c573df9610VgnVCM1000001d4a900aRCRD&vgnextchannel=f2be673c8d2e9610VgnVCM1000001d4a900aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Cruceiro de piedra;atracciones_turisticas;Paseo de la Ermita, 30 28023 Madrid, Spain;4046180;-377908;;;;;;;
Fuente del Parque del Oeste;atracciones_turisticas;,  28008 Madrid, Spain;4043573;-372273;;;;;;;
Casa del Escudo;atracciones_turisticas;Carretera de la Dehesa de la Villa,  28039 Madrid, Spain;4045941;-371910;;https://diario.madrid.es/cieadehesadelavilla/rincones-de-la-dehesa-la-casa-del-escudo/;;;;;
Cedro del Atlas del Parque del Oeste, árbol singular nº035 de la CAM;atracciones_turisticas;Calle Ruperto Chapí,  28008 Madrid, Spain;4043505;-372307;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Árbol monumental - Ginkgo Biloba;atracciones_turisticas;,  28008 Madrid, Spain;4043573;-372201;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Puerta del Saber;atracciones_turisticas;Calle de Francos Rodríguez, 81 28039 Madrid, Spain;4045872;-371831;;;;;;;
Isla de Oza - Aurora;parada_bus;,  28035 Madrid, Spain;4046423;-372272;;;;;;;
Madrid - Puerta de Hierro 5600;transporte_estacion_tren;,  28040 Madrid, Spain;4044934;-373690;;;;;;;
Vicente Aleixandre;transporte_estacion_metro;,  28040 Madrid, Spain;4044680;-371878;;;;;;;
Ciudad Universitaria;transporte_estacion_metro;,  28040 Madrid, Spain;4044356;-372691;;;;;;;
Classroom Building Museum;museo;Avenida de Juan de Herrera, 6 28040 Madrid, Spain;4043894;-373191;;;913 36 75 75;;;;
Museo de Anatomía Comparada de Vertebrados;museo;Calle de José Antonio Novais, 12 28040 Madrid, Spain;4044878;-372554;;https://www.ucm.es/macv/;913 94 51 50;;;;
Museo Veterinario Complutense;museo;Avenida Puerta de Hierro, s/n 28040 Madrid, Spain;4044978;-374021;;;913 94 37 89;;;;
Fundación Fran Daurel Casa Museo;museo;Calle de la Fuente del Rey, 11 28023 Madrid, Spain;4045496;-377066;;https://www.fundaciofrandaurel.com/;913 57 91 16;Monday: 10:00?AM?–?7:00?PM | Tuesday: 10:00?AM?–?7:00?PM | Wednesday: 10:00?AM?–?7:00?PM | Thursday: 10:00?AM?–?7:00?PM | Friday: 10:00?AM?–?7:00?PM | Saturday: Closed | Sunday: Closed;;;
Museo Torres Quevedo;museo;Calle del Profesor Aranguren, 3 28040 Madrid, Spain;4044714;-373187;;https://www.upm.es/UPM/MuseosUPM/MuseoTorresQuevedo;;Monday: 9:00?AM?–?2:00?PM | Tuesday: 9:00?AM?–?2:00?PM | Wednesday: 9:00?AM?–?2:00?PM | Thursday: 9:00?AM?–?2:00?PM | Friday: 9:00?AM?–?2:00?PM | Saturday: Closed | Sunday: Closed;;;
Maqueta de La Catedral de Málaga;museo;Avenida de Juan de Herrera, 4 28040 Madrid, Spain;4043985;-373121;;http://replicamonumental.blogspot.com/;611 42 78 75;Monday: 9:00?AM?–?8:00?PM | Tuesday: 9:00?AM?–?8:00?PM | Wednesday: 9:00?AM?–?8:00?PM | Thursday: 9:00?AM?–?8:00?PM | Friday: 9:00?AM?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
complutense Museum Art Center;museo;Avenida de Juan de Herrera, 2 28040 Madrid, Spain;4044030;-372906;;https://www.ucm.es/cultura/cartec;913 94 11 15;Monday: Closed | Tuesday: 10:00?AM?–?7:00?PM | Wednesday: 10:00?AM?–?7:00?PM | Thursday: 10:00?AM?–?7:00?PM | Friday: 10:00?AM?–?7:00?PM | Saturday: 10:00?AM?–?7:00?PM | Sunday: 10:00?AM?–?3:00?PM;;;
Museo del Traje;museo;Avenida de Juan de Herrera, 2 28040 Madrid, Spain;4044008;-372887;;http://www.museodeltraje.es/;915 50 47 00;Monday: Closed | Tuesday: 9:30?AM?–?7:00?PM | Wednesday: 9:30?AM?–?7:00?PM | Thursday: 9:30?AM?–?7:00?PM | Friday: 9:30?AM?–?7:00?PM | Saturday: 9:30?AM?–?7:00?PM | Sunday: 10:00?AM?–?3:00?PM;;;
Anillo Verde Ciclista - Sector 5;parque;Puente Castilla, 1054 28040 Madrid, Spain;4044286;-374161;;https://www.madrid.es/portales/munimadrid/es/Inicio/Movilidad-y-transportes/Oficina-de-la-bici/Madrid-en-bici/Red-de-vias-ciclistas/Anillo-Verde-Ciclista/?vgnextfmt=default&vgnextchannel=e8e2d8f887e79210VgnVCM2000000c205a0aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
La silla tallada;parque;,  28011 Madrid, Spain;4044565;-375515;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Vivero Municipal De Migas Calientes;parque;Autopista de Circunvalación M-30, 2200 28040 Madrid, Spain;4044629;-374075;;;;;;;
Zona de bici y paseo Manzanares puerta de hierro;parque;Carretera, 4 28035 Madrid, Spain;4046143;-374915;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Camarines Park;parque;Ronda Buganvilla del Rey, 28 28023 Madrid, Spain;4045689;-376460;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Los matorrales;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
blaz in petra;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
"Area de Autocaravanas de Almuñecar ""Alclub""";parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Franck marshel;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Es carregador;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Es Trenc ???? ????????????;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Playa Fluvial;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Finca de maría;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Makan Diombana;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
?????;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Vivero los nietos;parque;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Paisajismo CB;parque;Ronda Buganvilla del Rey, 86 28023 Madrid, Spain;4045596;-376670;;https://paisajismocb.com/;666 51 14 74;Monday: 9:00?AM?–?6:00?PM | Tuesday: 9:00?AM?–?6:00?PM | Wednesday: 9:00?AM?–?6:00?PM | Thursday: 9:00?AM?–?6:00?PM | Friday: 9:00?AM?–?6:00?PM | Saturday: Closed | Sunday: Closed;;;
Pinar de pinos carrascos (pinus halepensis) Casa de Campo;parque;,  28011 Madrid, Spain;4044528;-376779;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Camarines bouteille;parque;Calle de Bolarque, 26 28023 Madrid, Spain;4046014;-376331;;;;;;;
Unión Anillo verde ciclista;parque;Carretera de la Dehesa de la Villa, 15 28040 Madrid, Spain;4045528;-373216;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Facultad Derecho UCM Garden;parque;Avenida Complutense, 7 28040 Madrid, Spain;4045040;-373081;;https://derechoromanoapuntes.blogspot.com/;913 94 55 31;;;;
Mesas para comer;parque;Calle de la Gazania,  28011 Madrid, Spain;4044062;-376553;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
palojamer;parque;,  28035 Madrid, Spain;4046491;-374647;;;;;;;
Plaza Menéndez Pelayo;parque;,  28040 Madrid, Spain;4044961;-372997;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Cerro del Portillo;parque;,  28011 Madrid, Spain;4044403;-377048;;http://lacasadecampo.es/cerros/;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Mortirolo;parque;,  28011 Madrid, Spain;4044400;-377073;;;;;;;
Repartidor de Aguas;parque;Carretera Garabitas, 7 28011 Madrid, Spain;4043309;-374716;;;;;;;
FUENTE;parque;Paseo Piñonero, 4 28011 Madrid, Spain;4043349;-373958;;;;;;;
Cerro de Rogelio Carlon;parque;,  28011 Madrid, Spain;4043319;-376006;;;;;;;
Árbol Carmen;parque;Carretera de la Dehesa de la Villa,  28035 Madrid, Spain;4045787;-372800;;;;;;;
Bosque;parque;Lugar Casa de Campo, 2 28011 Madrid, Spain;4043198;-375573;;;;;;;
Vertice Geodésico La Florida;parque;Avenida Puerta de Hierro, 2 28040 Madrid, Spain;4044142;-372812;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Plaza Ramón y Cajal;parque;,  28040 Madrid, Spain;4044355;-372602;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
bicicletas De Hesa de la Villa Park;parque;Calle de Leonardo Prieto Castro, 3 28040 Madrid, Spain;4045344;-372430;;;;;;;
Parque;parque;Carretera de la Dehesa de la Villa, 3 28040 Madrid, Spain;4045391;-372395;;;;;;;
arroyo Park;parque;Calle de la Virgen de los Rosales, 58 28023 Madrid, Spain;4045280;-377735;;https://www.madrid.es/;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Casa de campo;parque;Casa de Campo,  28011 Madrid, Spain;4042881;-374415;;http://lacasadecampo.es/;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Observatorio de Aves del Parque del Oeste;parque;Avenida de Séneca, 10 28008 Madrid, Spain;4043420;-372943;;;;Monday: 9:00?AM?–?7:00?PM | Tuesday: 9:00?AM?–?7:00?PM | Wednesday: 9:00?AM?–?7:00?PM | Thursday: 9:00?AM?–?7:00?PM | Friday: 9:00?AM?–?7:00?PM | Saturday: 9:00?AM?–?7:00?PM | Sunday: Closed;;;
Camino de El Canalillo;parque;,  28040 Madrid, Spain;4046039;-372385;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Megan’s bench;parque;,  28040 Madrid, Spain;4045988;-372344;;;;;;;
Jaime del Amo Park;parque;Calle del Doctor Severo Ochoa, 7 28040 Madrid, Spain;4044232;-372181;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Oeste Park;parque;Avenida de Séneca, 8 28008 Madrid, Spain;4043482;-372742;;https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Parques-y-jardines/Patrimonio-Verde/Parques-en-Madrid/Parque-del-Oeste/?vgnextfmt=default&vgnextoid=0a57899a90c7e210VgnVCM2000000c205a0aRCRD&vgnextchannel=38bb1914e7d4e210VgnVCM1000000b205a0aRCRD;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Campo de Disc Golf - Universidad Complutense DG Course;parque;Carretera de la Dehesa de la Villa,  28035 Madrid, Spain;4045437;-371997;;https://www.madridinternationaldiscgolf.com/;;;;;
Bosque Metropolitano;parque;Avenida del Talgo, 53 28023 Madrid, Spain;4044562;-378025;;https://visitar.madrid/aire-libre/bosque-metropolitano/;;;;;
Photozone;parque;Paseo de Camoens,  28008 Madrid, Spain;4043419;-372684;;;;;;;
Calita perruna;parque;Paseo de Moret, 2B 28008 Madrid, Spain;4043463;-372604;;;;;;;
Árbol talado;parque;Calle Berenisa, 5 28023 Madrid, Spain;4045856;-377958;;;;;;;
Provincia de Insulafermentum;parque;Paseo de Moret, 2B 28008 Madrid, Spain;4043428;-372585;;;;;;;
Pino imposible;parque;,  28040 Madrid, Spain;4045363;-371857;;;;;;;
Parque Aravaca;parque;Calle de las Rosas de Aravaca, 1 28023 Madrid, Spain;4045117;-378193;;http://madrid.es/;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Alto del Mojón;parque;Calle de los Pirineos, 21 28040 Madrid, Spain;4045639;-371894;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
rio Lani Park;parque;Paseo de Camoens,  28008 Madrid, Spain;4043269;-372715;;;;;;;
Sal Gorda;restaurante;Calle de Beatriz de Bobadilla, 9 28040 Madrid, Spain;4044779;-371471;;https://restaurantesalgorda.es/;915 53 95 06;Monday: 1:00?–?4:00?PM, 8:30?PM?–?12:00?AM | Tuesday: 1:00?–?4:00?PM, 8:30?PM?–?12:00?AM | Wednesday: 1:00?–?4:00?PM, 8:30?PM?–?12:00?AM | Thursday: 1:00?–?4:00?PM, 8:30?PM?–?12:00?AM | Friday: 1:00?–?4:00?PM, 8:30?PM?–?12:00?AM | Saturday: 1:00?–?4:00?PM, 8:30?PM?–?12:00?AM | Sunday: 1:00?–?4:00?PM;;;
Goikito;restaurante;Avenida de Gregorio del Amo, 2 28040 Madrid, Spain;4044706;-371847;;https://www.goiko.com/;910 60 95 38;;;;
Caroli Oysters Bar;restaurante;Avenida de la Osa Mayor, 36 28023 Madrid, Spain;4045928;-378022;;https://www.caroliaravaca.com/;696 31 95 94;Monday: Closed | Tuesday: 10:00?AM?–?3:00?PM | Wednesday: 10:00?AM?–?3:00?PM | Thursday: 10:00?AM?–?3:00?PM | Friday: 10:00?AM?–?3:00?PM | Saturday: 10:00?AM?–?3:00?PM | Sunday: Closed;;;
Dorrius;restaurante;Calle Aldebarán, 3 28023 Madrid, Spain;4045896;-378106;;;607 59 47 43;Monday: 10:00?AM?–?2:00?PM, 5:00?–?8:30?PM | Tuesday: 10:00?AM?–?2:00?PM, 5:00?–?8:30?PM | Wednesday: 10:00?AM?–?2:00?PM, 5:00?–?8:30?PM | Thursday: 10:00?AM?–?2:00?PM, 5:00?–?8:30?PM | Friday: 10:00?AM?–?2:00?PM, 5:00?–?8:30?PM | Saturday: 10:00?AM?–?2:00?PM | Sunday: Closed;;;
Dr. Rodrigo Garcia Crespo, Traumatólogo;restaurante;,  28003 Madrid, Spain;4044577;-371694;;https://www.doctoralia.es/rodrigo-garcia-crespo/traumatologo/madrid?utm_source=google&utm_medium=gmb&utm_campaign=85398&utm_content=website;914 53 94 00;;;;
Café de Oriente;restaurante;Avenida de Juan de Herrera, 2 28040 Madrid, Spain;4043985;-372945;;http://www.cafedeorientemuseodeltraje.com/;915 50 20 55;Monday: Closed | Tuesday: 9:30?AM?–?7:00?PM | Wednesday: 9:30?AM?–?7:00?PM | Thursday: 9:30?AM?–?7:00?PM | Friday: 9:30?AM?–?7:00?PM | Saturday: 9:30?AM?–?7:00?PM | Sunday: 9:30?AM?–?3:00?PM;;;
Restaurante Oliva;restaurante;Calle de Isaac Peral, 56 28040 Madrid, Spain;4044086;-371787;;;915 43 61 05;Monday: 7:00?AM?–?11:00?PM | Tuesday: 7:00?AM?–?11:00?PM | Wednesday: 7:00?AM?–?11:00?PM | Thursday: 7:00?AM?–?11:00?PM | Friday: 7:00?AM?–?11:00?PM | Saturday: 8:30?AM?–?11:00?PM | Sunday: 8:30?AM?–?11:00?PM;;;
Taberna La Cañeria;restaurante;Avenida del Talgo, 230 28023 Madrid, Spain;4044727;-378418;;https://www.tabernalacañeria.es/;915 40 17 35;Monday: Closed | Tuesday: 9:00?AM?–?12:00?AM | Wednesday: 9:00?AM?–?12:00?AM | Thursday: 9:00?AM?–?12:00?AM | Friday: 9:00?AM?–?12:00?AM | Saturday: 10:00?AM?–?12:00?AM | Sunday: 10:00?AM?–?5:00?PM;;;
Oriental Palace;restaurante;Calle Federico Carlos Sainz de Robles, 3 28035 Madrid, Spain;4046465;-372132;;http://orientalpalacemadrid.com/?utm_source=googlepin&utm_campaign=OrientalPalace&utm_medium=tr-activation&utm_term=microsite;913 73 74 33;Monday: 12:00?–?4:30?PM, 8:00?PM?–?12:00?AM | Tuesday: 12:00?–?4:30?PM, 8:00?PM?–?12:00?AM | Wednesday: 12:00?–?4:30?PM, 8:00?PM?–?12:00?AM | Thursday: 12:00?–?4:30?PM, 8:00?PM?–?12:00?AM | Friday: 12:00?–?4:30?PM, 8:00?PM?–?12:00?AM | Saturday: 12:00?–?4:30?PM, 8:00?PM?–?12:00?AM | Sunday: 12:00?–?4:30?PM, 8:00?PM?–?12:00?AM;;;
Restaurante golf;restaurante;Camino Antequina,  28040 Madrid, Spain;4045095;-375509;;;;;;;
Cafetería Facultad de Veterinaria;restaurante;Avenida Puerta de Hierro, s/n 28040 Madrid, Spain;4044873;-373797;;;;Monday: 8:00?AM?–?8:00?PM | Tuesday: 8:00?AM?–?8:00?PM | Wednesday: 8:00?AM?–?8:00?PM | Thursday: 8:00?AM?–?8:00?PM | Friday: 8:00?AM?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
La Raquette;restaurante;Carretera Castilla, Km 2 28023 Madrid, Spain;4044138;-374547;;https://laraquette.es/;698 94 54 09;Monday: 12:00?AM?–?9:00?PM | Tuesday: 12:00?AM?–?9:00?PM | Wednesday: 12:00?AM?–?9:00?PM | Thursday: 12:00?AM?–?9:00?PM | Friday: 12:00?AM?–?9:00?PM | Saturday: 12:00?AM?–?9:00?PM | Sunday: 12:00?AM?–?9:00?PM;;;
Terraza Club de Campo;restaurante;Carretera Castilla, Km 2 28023 Madrid, Spain;4044138;-374547;;https://terrazaclubdecampo.es/;918 98 22 40;Monday: 1:00?–?4:00?PM | Tuesday: 1:00?–?4:00?PM, 8:00?–?10:30?PM | Wednesday: 1:00?–?4:00?PM, 8:00?–?10:30?PM | Thursday: 1:00?–?4:00?PM, 8:00?–?10:30?PM | Friday: 1:00?–?4:00?PM, 8:00?–?10:30?PM | Saturday: 1:00?–?4:00?PM, 8:00?–?10:30?PM | Sunday: 1:00?–?4:00?PM;;;
Restaurante Puerta de Hierro;restaurante;Parque Deportivo Puerta de Hierro, 28023 28023 Madrid, Spain;4046244;-374998;;;;Monday: 9:00?AM?–?9:00?PM | Tuesday: 9:00?AM?–?9:00?PM | Wednesday: 9:00?AM?–?9:00?PM | Thursday: 9:00?AM?–?9:00?PM | Friday: 9:00?AM?–?9:00?PM | Saturday: 9:00?AM?–?9:00?PM | Sunday: 9:00?AM?–?9:00?PM;;;
Calor by Ramón Freixa;restaurante;A-6, 8 28040 Madrid, Spain;4046116;-375783;;http://www.restaurantecalor.es/;676 82 25 07;Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 8:00?–?11:30?PM | Friday: 8:00?–?11:30?PM | Saturday: 8:00?–?11:30?PM | Sunday: Closed;;;
Churreria Chocolatería;restaurante;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Gregory Rome;restaurante;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Piqueo cervecería y cevilleria;restaurante;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
Ssk;restaurante;,  28023 Madrid, Spain;4046367;-374922;;;;;;;
